seed,total_reward,slippage_reward,late_penalty_reward,entry_price,executed_quantity,remaining_quantity,fill_rate,is_bps,completed,action_mkt,action_lmt,action_hold
180,-55.809000000000005,-55.809000000000005,0.0,99997.0,1000,0,1.0,5.5810674320229605,True,10,0,0
181,-89.735,10.265,-100.0,100016.0,900,100,0.9,-1.140373095860218,False,10,0,0
182,28.849999999999998,28.849999999999998,0.0,100001.0,1000,0,1.0,-2.884971150288497,True,10,0,0
183,-23.423000000000002,-23.423000000000002,0.0,100035.5,1000,0,1.0,2.341468778583603,True,10,0,0
184,2.8340000000000005,2.8340000000000005,0.0,99973.5,1000,0,1.0,-0.2834751209070404,True,10,0,0
185,-16.494,-16.494,0.0,99991.5,1000,0,1.0,1.6495402109179282,True,10,0,0
186,15.133,15.133,0.0,99983.0,1000,0,1.0,-1.5135573047418063,True,10,0,0
187,-9.382,-9.382,0.0,100008.5,1000,0,1.0,0.9381202597779189,True,10,0,0
188,-7.533,-7.533,0.0,100022.5,1000,0,1.0,0.7531305456272339,True,10,0,0
189,-52.551,-52.551,0.0,100018.0,1000,0,1.0,5.254154252234597,True,10,0,0
190,-2.6830000000000003,-2.6830000000000003,0.0,100005.0,1000,0,1.0,0.2682865856707165,True,10,0,0
191,3.5429999999999997,3.5429999999999997,0.0,99982.5,1000,0,1.0,-0.3543620133523366,True,10,0,0
192,22.066,22.066,0.0,99979.0,1000,0,1.0,-2.2070634833314995,True,10,0,0
193,-10.156,-10.156,0.0,99992.0,1000,0,1.0,1.0156812545003602,True,10,0,0
194,-21.19,-21.19,0.0,99998.5,1000,0,1.0,2.119031785476782,True,10,0,0
195,-201.174,-1.174,-200.0,99971.0,800,200,0.8,0.14679256984525513,False,10,0,0
196,-15.964,-15.964,0.0,100010.0,1000,0,1.0,1.5962403759624038,True,10,0,0
197,-30.720999999999997,-30.720999999999997,0.0,100017.5,1000,0,1.0,3.0715624765666005,True,10,0,0
198,-7.3870000000000005,-7.3870000000000005,0.0,100013.5,1000,0,1.0,0.7386002889609903,True,10,0,0
199,1.9119999999999995,1.9119999999999995,0.0,99983.0,1000,0,1.0,-0.19123250952661947,True,10,0,0
